classes,features,classifier,estimator,classes,acc,f1
'CN_AD',1000,'GradientBoosting',500,'CN_AD',0.733747899,0.706690831
'CN_AD',1000,'GradientBoosting',300,'CN_AD',0.732588235,0.70434189
'CN_AD',1000,'GradientBoosting',1000,'CN_AD',0.729411765,0.686376313
'CN_AD',1000,'GradientBoosting',700,'CN_AD',0.72507563,0.695888119
'CN_AD',800,'GradientBoosting',1000,'CN_AD',0.72312605,0.685439537
'CN_AD',200,'RandomForest',700,'CN_AD',0.71994958,0.688787503
'CN_AD',200,'RandomForest',1000,'CN_AD',0.719394958,0.686181947
'CN_AD',200,'RandomForest',100,'CN_AD',0.718857143,0.684670247
'CN_AD',200,'RandomForest',300,'CN_AD',0.717680672,0.6848828
'CN_AD',200,'RandomForest',500,'CN_AD',0.716504202,0.682694139
'CN_AD',600,'RandomForest',500,'CN_AD',0.715394958,0.675331341
'CN_AD',200,'RandomForest',50,'CN_AD',0.714201681,0.679996527
'CN_AD',600,'RandomForest',1000,'CN_AD',0.713109244,0.670468082
'CN_AD',600,'RandomForest',700,'CN_AD',0.71307563,0.669954661
'CN_AD',400,'RandomForest',300,'CN_AD',0.71307563,0.675488927
'CN_AD',600,'RandomForest',50,'CN_AD',0.711411765,0.671762979
'CN_AD',400,'RandomForest',100,'CN_AD',0.711361345,0.67410322
'CN_AD',400,'RandomForest',500,'CN_AD',0.711344538,0.672891478
'CN_AD',800,'RandomForest',700,'CN_AD',0.710789916,0.666097586
'CN_AD',400,'RandomForest',1000,'CN_AD',0.709647059,0.671086019
'CN_AD',600,'GradientBoosting',1000,'CN_AD',0.709109244,0.674020798
'CN_AD',600,'RandomForest',100,'CN_AD',0.708470588,0.669015135
'CN_AD',600,'RandomForest',300,'CN_AD',0.70794958,0.664182768
'CN_AD',400,'RandomForest',700,'CN_AD',0.707915966,0.669346633
'CN_AD',800,'RandomForest',1000,'CN_AD',0.706789916,0.661474186
'CN_AD',400,'RandomForest',50,'CN_AD',0.706268908,0.666376945
'CN_AD',1000,'RandomForest',500,'CN_AD',0.705630252,0.658856922
'CN_AD',800,'GradientBoosting',50,'CN_AD',0.704521008,0.673857055
'CN_AD',800,'RandomForest',100,'CN_AD',0.703932773,0.659112181
'CN_AD',800,'RandomForest',300,'CN_AD',0.703865546,0.660876016
'CN_AD',800,'RandomForest',500,'CN_AD',0.703378151,0.658961158
'CN_AD',1000,'GradientBoosting',100,'CN_AD',0.701714286,0.67065461
'CN_AD',1000,'RandomForest',300,'CN_AD',0.701042017,0.654484466
'CN_AD',800,'GradientBoosting',500,'CN_AD',0.700218487,0.673314698
'CN_AD',1000,'RandomForest',100,'CN_AD',0.699983193,0.653635064
'CN_AD',800,'GradientBoosting',300,'CN_AD',0.697495798,0.667829473
'CN_AD',200,'GradientBoosting',300,'CN_AD',0.69594958,0.676914364
'CN_AD',800,'GradientBoosting',700,'CN_AD',0.695042017,0.667156485
'CN_AD',1000,'RandomForest',50,'CN_AD',0.694773109,0.646901751
'CN_AD',1000,'RandomForest',1000,'CN_AD',0.694218487,0.643943848
'CN_AD',1000,'RandomForest',700,'CN_AD',0.694184874,0.643657533
'CN_AD',200,'GradientBoosting',700,'CN_AD',0.693142857,0.673035756
'CN_AD',600,'GradientBoosting',700,'CN_AD',0.692739496,0.667423633
'CN_AD',800,'GradientBoosting',100,'CN_AD',0.691865546,0.659825252
'CN_AD',800,'RandomForest',50,'CN_AD',0.689579832,0.646416618
'CN_AD',200,'GradientBoosting',500,'CN_AD',0.688504202,0.668026878
