Gene,importance
11754382_a_at_SMIM5,0.394458423
11761978_at_ARHGEF12,0.11555108
11721863_a_at_SLC37A3,0.053526447
11743992_at_UBE2O,0.041483399
11724079_s_at_E2F2,0.039690912
11722640_s_at_SSBP3,0.035244888
11755705_a_at_SMIM5,0.035062937
11726810_s_at_C19ORF77,0.034124158
AFFX-r2-Bs-phe-3_at_nan,0.031778357
AFFX-PheX-5_at_AFFX-r2-TagC_at,0.024629605
11750705_a_at_OSBP2,0.01640027
11750580_x_at_ARHGEF12,0.014699665
AFFX-r2-Bs-dap-M_at_AFFX-r2-TagO-3_at,0.011147529
11731997_at_TRIM58,0.0100585
11731447_x_at_SNCA,0.009243843
11734736_a_at_FAR1,0.009106937
11739958_x_at_BCL2L1,0.008428483
11754381_a_at_TMOD1,0.007770735
11736205_a_at_OSBP2,0.007542846
11717258_a_at_PIM1,0.007067083
11731415_a_at_PSMD6,0.006812332
11730252_s_at_AHCTF1,0.005416405
11762503_at_11762535_at,0.005218177
11752515_a_at_ODC1,0.005008418
11760223_at_nan,0.004973748
11718038_s_at_DCAF12,0.004683097
11745718_s_at_LOC100093631 || GTF2I || GTF2IP1,0.004557272
11740468_x_at_MAGIX,0.004402242
11763538_x_at_PRR5,0.004384097
11716563_s_at_AIMP2,0.003894967
11738864_a_at_ABHD12B,0.003610286
11739347_a_at_PIP4K2A,0.003492027
11718852_a_at_SRPK1,0.003248441
APOE4,0.003205362
11720202_at_GMPR,0.002535179
AGE,0.002400511
PTGENDER,0.002365172
11746494_x_at_PIP4K2A,0.002282165
11717200_a_at_DPM2,0.002265252
11717404_x_at_TDP2,0.002090312
11719828_x_at_QPCT,0.002005982
AFFX-r2-Bs-phe-5_at_nan,0.001846377
11750558_s_at_ZNF271,0.001668133
AFFX-LysX-M_at_AFFX-ThrX-M_at,0.001624447
11731901_a_at_SESN3,0.001420615
11719477_a_at_FASTKD5,0.001401028
11758611_s_at_TRIM10,0.001345293
11757581_x_at_MT1X,0.001168355
11726385_a_at_MT1X,0.001140436
11739339_s_at_FAM46C,0.000639657
PTEDUCAT,0.000620026
11716907_s_at_PITHD1,0.000540531
11744861_a_at_DHRS7,0.000483857
11745272_a_at_ATP6V1C1,0.000233706
