Gene,importance
11758070_s_at_PBX1,0.123266248
11731271_a_at_MGAM,0.05784524
11716740_a_at_SLC6A8,0.047033649
11717404_x_at_TDP2,0.034385975
11716557_a_at_TNS1,0.033849163
11716866_x_at_SLC1A5,0.028551945
11753445_a_at_HMOX1,0.02271989
11739400_s_at_FBXO7,0.021005327
11757979_x_at_DEGS1,0.020771584
11716865_a_at_SLC1A5,0.020068852
11722640_s_at_SSBP3,0.017144096
11743133_a_at_FKBP8,0.016535332
11739366_at_ASPH,0.015954118
11751760_s_at_LSM12,0.015549514
11754255_a_at_WDR59,0.014136329
11719375_x_at_METTL7A,0.013337147
11718429_at_EMD,0.012925273
11741507_a_at_SMOX,0.012774095
11753827_x_at_GYPB,0.011437984
11756127_a_at_PGM1,0.01074716
11755227_x_at_ANK1,0.010746476
11723969_x_at_PPCS,0.010350738
11740071_x_at_PSMF1,0.010316976
11739347_a_at_PIP4K2A,0.010211272
11726225_at_KEL,0.009515083
11734352_a_at_ANK1,0.008974681
11739957_a_at_BCL2L1,0.008920336
AFFX-LysX-5_at_AFFX-ThrX-5_at,0.008553589
11724283_a_at_ANXA3,0.008337725
11756718_a_at_PRR5,0.008001489
11717257_s_at_PIM1,0.007941294
11756153_x_at_SERF2,0.007647165
11756917_a_at_ZNF618,0.007481677
11741344_x_at_DMTN,0.006719869
11740714_a_at_SLC1A5,0.00669378
11727701_a_at_FAM185A,0.006538077
11743992_at_UBE2O,0.005850099
11745718_s_at_LOC100093631 || GTF2I || GTF2IP1,0.005713934
11720529_at_JAZF1,0.005544825
11727947_at_MEGF6,0.00551857
11734559_x_at_ADIPOQ,0.00533841
11757450_s_at_MSL1,0.00531132
AFFX-HUMRGE/M10098_5_at_AFFX-PheX-5_at,0.004979158
11715566_at_COPZ1,0.004953444
11758698_x_at_HBG1,0.004684853
11732126_x_at_UBB,0.004375466
11719005_a_at_ANKH,0.00436943
11716401_a_at_SELENBP1,0.004359419
11744515_a_at_SLC25A38,0.004178882
11722183_s_at_ATP6V1C1,0.004018415
11744116_s_at_RPIA,0.003700121
11734287_at_HBM,0.003603042
AFFX-LysX-M_at_AFFX-ThrX-M_at,0.003478668
11724319_x_at_DMTN,0.003373964
11747789_a_at_ZNF394,0.00334691
11729632_a_at_YBX3,0.003343639
11720951_a_at_DCUN1D4,0.003186292
11725204_a_at_RPH3AL,0.003042628
11717241_a_at_MAEA,0.00299066
11716261_a_at_AP2B1,0.00289942
11747640_a_at_TDP2,0.002893949
11720378_a_at_SAP30L,0.002837322
11724431_at_C3ORF52,0.002785886
11754486_a_at_NME4,0.002654971
11716563_s_at_AIMP2,0.002637419
11727808_s_at_FECH,0.002628834
11717213_a_at_NSMAF,0.002581576
11729183_a_at_RPAP3,0.002540993
11727203_x_at_ZNF230,0.002481993
11733482_a_at_DYRK3,0.002465666
AFFX-r2-Bs-phe-3_at_nan,0.002419698
11758360_s_at_MRAS,0.002399226
11746087_a_at_CD84,0.002383726
11752736_x_at_CHID1,0.002380539
11725953_a_at_RNF10,0.002354567
11731997_at_TRIM58,0.002336284
11731876_at_C5ORF58,0.002299973
11716039_a_at_BABAM1,0.002279568
11736828_x_at_ST3GAL1,0.002274201
11718871_x_at_PALMD,0.002273349
11743834_a_at_RSBN1L,0.002271919
11717043_at_GID8,0.002251515
11719878_at_UBXN2B,0.002219236
11731447_x_at_SNCA,0.002132536
11716983_at_CDC34,0.002026959
11717374_at_DNAJC3,0.00189738
11718852_a_at_SRPK1,0.001883962
11754363_s_at_CARM1,0.001853989
11748067_a_at_DYX1C1-CCPG1 || CCPG1,0.001838432
11718159_at_NMI,0.001835266
11760509_x_at_HAGH,0.001823759
11744015_a_at_KDELR1,0.001821349
11743139_a_at_5-Mar,0.001809874
11721673_at_GLRX5,0.001786701
11738934_at_GSX1,0.001735908
11726379_a_at_WHSC1,0.00173515
11751762_s_at_INTS6,0.001703843
11739180_x_at_ST6GALNAC4,0.00166472
11761978_at_ARHGEF12,0.001660666
11725952_at_RNF10,0.001633406
11730370_a_at_EIF4E3,0.001602899
11717153_a_at_APMAP,0.001588538
11739260_a_at_YIPF6,0.001567216
11720387_a_at_MRC2,0.001520721
11717791_a_at_APPL2,0.00147064
11757866_s_at_FBXO38,0.001432496
11751137_x_at_DPF1,0.001431363
11729979_s_at_PAGE2 || PAGE2B,0.001423345
11754381_a_at_TMOD1,0.001403547
11746393_x_at_INTS6,0.001401504
11747106_a_at_RREB1,0.001400148
11728137_at_XK,0.001375235
11717311_s_at_FBXO7,0.001373347
11721400_a_at_ELOF1,0.0013643
11721345_at_PLEK2,0.001352241
11716343_a_at_JUP,0.001310101
11741071_a_at_ANK1,0.001286096
11717060_a_at_DECR1,0.001267909
11734359_a_at_RNASEL,0.001224002
11734353_x_at_ANK1,0.001217957
11729633_x_at_YBX3,0.001217679
11747376_s_at_CCPG1,0.00120369
11740468_x_at_MAGIX,0.001193321
11763272_at_UBR5,0.001164741
11728631_a_at_LYSMD1,0.001155948
11745828_x_at_BNIP3L,0.001147478
11763538_x_at_PRR5,0.00110026
11719477_a_at_FASTKD5,0.001083911
11717458_at_NLGN2,0.0010751
11749969_a_at_TSPAN5,0.0010677
11764161_a_at_11764193_at,0.001061894
11721931_s_at_TMCC2,0.001058907
11726810_s_at_C19ORF77,0.001058623
11719104_s_at_CPNE3,0.001044086
11725346_x_at_GPX1,0.001039828
11739032_x_at_ACTR2,0.001019576
11722867_at_CDCP1,0.001019455
11723008_s_at_CCPG1,0.000979945
11753662_x_at_GYPB,0.00097512
11758104_s_at_RAB2B,0.000967383
11757581_x_at_MT1X,0.000939408
11748395_a_at_MYADM,0.000915272
11721775_s_at_ASPH,0.000914483
11746216_x_at_FKBP8,0.000903391
11721863_a_at_SLC37A3,0.000894017
11720202_at_GMPR,0.000879158
11759404_at_TSPAN5,0.000873633
11719798_s_at_MBD4,0.000870741
11724751_at_MRTO4,0.000862476
11752906_a_at_TELO2,0.000856094
11718039_at_DCAF12,0.000852883
11755749_x_at_C5ORF38,0.000846934
AFFX-HUMRGE/M10098_M_at_AFFX-PheX-M_at,0.000824073
11739871_a_at_DNAJB2,0.000821998
11743010_at_NFIL3,0.00081873
11741964_s_at_VEGFA,0.000805946
11755450_a_at_ZNF608,0.000798202
11731716_at_ACKR2,0.000787693
11743153_at_C16ORF72,0.000782076
11753577_a_at_ADC,0.000776157
11721674_s_at_GLRX5,0.000744515
11730498_s_at_MXI1,0.000738984
11743255_a_at_VAPA,0.000729511
11750285_a_at_NFIX,0.000729181
11736387_a_at_ABAT,0.000727805
11745338_a_at_RAB3IL1,0.000720134
11749176_a_at_RIOK3,0.000698934
11756353_a_at_CLVS1,0.000679225
11720624_a_at_MYD88,0.000665472
11758365_s_at_TTLL8,0.00065429
11754453_s_at_NUDT4 || NUDT4P2 || NUDT4P1,0.000645417
11734150_x_at_PLAGL1,0.000639693
AFFX-ThrX-M_at_AFFX-r2-TagG_at,0.000632739
AFFX-HUMRGE/M10098_3_at_AFFX-PheX-3_at,0.0006298
11719413_a_at_PBX1,0.000611418
AFFX-PheX-3_at_AFFX-r2-TagB_at,0.000602772
AFFX-PheX-5_at_AFFX-r2-TagC_at,0.000598665
11716559_x_at_TNS1,0.000591338
11737063_a_at_MTL5,0.000584285
11757850_s_at_PA2G4,0.00058244
11733379_at_DCAF4L1,0.00057136
AFFX-r2-Bs-dap-M_at_AFFX-r2-TagO-3_at,0.000570961
11718038_s_at_DCAF12,0.000562819
11739126_a_at_DNAJB2,0.000547313
11746336_a_at_CNOT8,0.000546149
11717258_a_at_PIM1,0.00052796
11750749_a_at_BCL6,0.000523137
11728691_a_at_MKRN1,0.000516835
AFFX-r2-Bs-lys-5_at_AFFX-r2-TagQ-3_at,0.000515802
11750580_x_at_ARHGEF12,0.000510813
11749608_a_at_RNF11,0.000509373
11725999_s_at_FAS,0.000502542
11718518_at_KCMF1,0.000502024
11730163_x_at_SLC6A8,0.000500172
11715149_x_at_HIST2H2AB,0.00048969
11758251_s_at_HOXB3,0.00047644
11753189_a_at_MBOAT1,0.000470335
11718224_s_at_GSPT1,0.000468063
11756947_a_at_CTSB,0.000465951
11754252_a_at_5-Mar,0.000462893
11739520_a_at_CHID1,0.000461604
11734279_at_RBMXL3,0.000454329
11726989_x_at_EIF2AK1,0.000453979
11723262_at_AMN1,0.000448192
11758186_s_at_ENSA,0.000439057
11753758_x_at_NUTF2,0.000433582
11746727_s_at_FBXO38,0.00042717
11724194_s_at_SERF2,0.000426781
11759103_at_CYP4F3,0.000425351
11717000_s_at_GUCD1,0.000419985
AFFX-r2-Bs-lys-3_at_AFFX-r2-TagO-5_at,0.000416472
11730138_at_KLF1,0.000413889
11742187_a_at_PRDM16,0.000413271
11742218_x_at_SLC13A5,0.000411337
11741508_x_at_SMOX,0.000405217
11716603_a_at_KBTBD2,0.000373876
11745658_x_at_PAX5,0.000364988
11717110_a_at_REPIN1,0.000363913
11723379_a_at_CEP170B,0.000363286
11718992_a_at_FKBP2,0.000359595
11716842_a_at_CD53,0.000345293
11743606_a_at_ACSL3,0.00031868
11731415_a_at_PSMD6,0.000315807
11730202_a_at_FAM104A,0.000314799
11722348_a_at_REPS2,0.00031035
11745272_a_at_ATP6V1C1,0.000309216
11757778_s_at_EIF4H,0.000305495
11754714_a_at_EP400,0.000305461
11718024_a_at_IFT52,0.000299549
11726896_a_at_IRAK3,0.000296604
11716506_s_at_CUL3,0.000289926
11750558_s_at_ZNF271,0.000284818
11764291_a_at_LINC00570,0.000278371
