,features,importance
12,11717000_s_at_GUCD1,0.0677993968129158
94,11741967_a_at_CDYL,0.06510463356971741
101,11738864_a_at_ABHD12B,0.055484622716903687
74,11723027_at_ITLN1,0.04279610887169838
68,11730765_at_CD177,0.039658233523368835
29,11757581_x_at_MT1X,0.03943944349884987
91,11726385_a_at_MT1X,0.038279373198747635
5,11759592_at_PCGF5,0.03734715282917023
44,11740468_x_at_MAGIX,0.03678395226597786
7,11760223_at_nan,0.036619871854782104
35,11742943_a_at_CKM,0.03427791967988014
31,11742593_at_OR14C36,0.0336754135787487
76,AFFX-r2-Bs-dap-M_at_AFFX-r2-TagO-3_at,0.03128201141953468
86,AGE,0.025574976578354836
19,11719884_s_at_KAZN,0.024121219292283058
72,11763538_x_at_PRR5,0.018688594922423363
23,11731901_a_at_SESN3,0.01799890585243702
75,11750558_s_at_ZNF271,0.016834313049912453
97,11730252_s_at_AHCTF1,0.016681915149092674
28,11747852_s_at_ISLR,0.015963882207870483
59,11734736_a_at_FAR1,0.014437642879784107
4,11761978_at_ARHGEF12,0.014257519505918026
90,11762503_at_11762535_at,0.013389085419476032
11,11761447_at_nan,0.0125042162835598
100,EDU,0.011964199133217335
83,11721863_a_at_SLC37A3,0.011668283492326736
49,11750143_a_at_PIGZ,0.011521237902343273
52,11726810_s_at_C19ORF77,0.011265399865806103
16,11750705_a_at_OSBP2,0.01046221237629652
70,11747106_a_at_RREB1,0.01036513689905405
27,11731997_at_TRIM58,0.009159793145954609
1,11741507_a_at_SMOX,0.008787681348621845
0,11747640_a_at_TDP2,0.008726668544113636
41,11753445_a_at_HMOX1,0.008620239794254303
6,11740116_s_at_SSBP3,0.008055309765040874
87,11758611_s_at_TRIM10,0.008047892712056637
33,AFFX-r2-Bs-phe-3_at_nan,0.00671016052365303
85,11731415_a_at_PSMD6,0.006691346410661936
67,11724079_s_at_E2F2,0.005984453950077295
18,11724283_a_at_ANXA3,0.005969764664769173
56,11744862_x_at_DHRS7,0.005930641666054726
80,11716563_s_at_AIMP2,0.005696314852684736
84,11719477_a_at_FASTKD5,0.005507307127118111
37,11720732_a_at_SUMF1,0.005138959735631943
88,AFFX-r2-Bs-phe-5_at_nan,0.005119213834404945
99,11718871_x_at_PALMD,0.005079385358840227
77,11745272_a_at_ATP6V1C1,0.005037225782871246
21,11718992_a_at_FKBP2,0.0048752776347100735
2,11743992_at_UBE2O,0.0047278329730033875
53,11722182_a_at_ATP6V1C1,0.004703148268163204
15,11745718_s_at_LOC100093631 || GTF2I || GTF2IP1,0.00468389643356204
26,11746441_a_at_TGFBR1,0.004421215038746595
10,11752515_a_at_ODC1,0.004154040478169918
13,11750499_s_at_ZNF705E || ZNF705B || ZNF705A || ZNF705D,0.004121976438909769
38,11718852_a_at_SRPK1,0.004036216996610165
79,11739339_s_at_FAM46C,0.0035503811668604612
25,11722970_a_at_CREB5,0.0032363098580390215
69,11759606_at_nan,0.0025738344993442297
92,11721674_s_at_GLRX5,0.0024962543975561857
73,11721675_x_at_GLRX5,0.0024523218162357807
36,11754382_a_at_SMIM5,0.0019790001679211855
3,11722181_a_at_ATP6V1C1,0.001820424455218017
57,11739958_x_at_BCL2L1,0.0016915624728426337
66,11722640_s_at_SSBP3,0.0016286182217299938
30,11741528_a_at_ACP1,0.0014607567572966218
62,11742801_a_at_MAP2K3,0.0013192453188821673
64,11728079_a_at_TBC1D22B,0.0012836187379434705
82,11717200_a_at_DPM2,0.001243077334947884
17,11746727_s_at_FBXO38,0.0011319572804495692
89,11734451_at_SULT1B1,0.0010384437628090382
54,11739347_a_at_PIP4K2A,0.000976666808128357
24,11716907_s_at_PITHD1,0.0009645789978094399
40,11736205_a_at_OSBP2,0.0007979925139807165
42,AFFX-LysX-M_at_AFFX-ThrX-M_at,0.0004790729144588113
51,11719828_x_at_QPCT,0.00046857065171934664
98,AFFX-DapX-5_at_AFFX-Nonspecific-GC14_at,0.00042320406646467745
32,11720202_at_GMPR,0.0003301512624602765
22,AFFX-PheX-5_at_AFFX-r2-TagC_at,0.0002416554925730452
8,11746494_x_at_PIP4K2A,0.00017943889542948455
9,11717258_a_at_PIM1,0.0
93,11731447_x_at_SNCA,0.0
95,11754090_a_at_SNCA,0.0
96,11718038_s_at_DCAF12,0.0
39,11725954_x_at_RNF10,0.0
81,11754381_a_at_TMOD1,0.0
78,11717404_x_at_TDP2,0.0
43,11721673_at_GLRX5,0.0
45,11732501_a_at_TMOD1,0.0
46,11725953_a_at_RNF10,0.0
47,11731996_at_TRIM58,0.0
48,11716556_a_at_TNS1,0.0
50,11755705_a_at_SMIM5,0.0
55,11715517_s_at_SLC25A39,0.0
58,AFFX-r2-Bs-thr-M_s_at_nan,0.0
60,11746350_a_at_PIM1,0.0
61,11739782_a_at_SNCA,0.0
63,11715594_a_at_RBM38,0.0
65,11750580_x_at_ARHGEF12,0.0
34,11744861_a_at_DHRS7,0.0
71,AFFX-DapX-M_at_AFFX-Nonspecific-GC15_at,0.0
14,11753731_x_at_SNCA,0.0
20,11754363_s_at_CARM1,0.0
