,features,importance
0,AGE,0.11427469399784022
31,11762503_at_11762535_at,0.059694855632556124
44,11716563_s_at_AIMP2,0.05555781453762552
98,11730765_at_CD177,0.04658584270313936
62,11747640_a_at_TDP2,0.0424182967719423
11,11719477_a_at_FASTKD5,0.04037869546243259
74,11720732_a_at_SUMF1,0.03830200453528281
80,11761447_at_nan,0.03828334540895394
8,11752515_a_at_ODC1,0.034204324798757055
71,11742943_a_at_CKM,0.031566778804267503
91,11742593_at_OR14C36,0.02780172159298115
55,11750143_a_at_PIGZ,0.02441191836272551
46,11750558_s_at_ZNF271,0.02312088538370952
99,11741967_a_at_CDYL,0.020588478267189025
30,11757581_x_at_MT1X,0.02007072973928391
69,11718871_x_at_PALMD,0.018435788710993602
34,11721863_a_at_SLC37A3,0.01842869268593722
49,11745718_s_at_LOC100093631 || GTF2I || GTF2IP1,0.01686880502394197
28,11760223_at_nan,0.016693199061677967
96,11747106_a_at_RREB1,0.016427446885604033
3,11761978_at_ARHGEF12,0.013849732593858011
68,11722182_a_at_ATP6V1C1,0.012393982275040894
58,11750499_s_at_ZNF705E || ZNF705B || ZNF705A || ZNF705D,0.012014130652098142
41,11739339_s_at_FAM46C,0.01199576082270571
18,11718038_s_at_DCAF12,0.01112777449867302
27,11726385_a_at_MT1X,0.010759015358314165
35,11717404_x_at_TDP2,0.009724258286029927
5,11755705_a_at_SMIM5,0.009663951942543795
59,11753445_a_at_HMOX1,0.00924740733386675
20,11738864_a_at_ABHD12B,0.00903530064253449
37,11750705_a_at_OSBP2,0.008926827686176782
53,11747852_s_at_ISLR,0.008736009293765924
51,11719828_x_at_QPCT,0.007609098744574904
92,11723027_at_ITLN1,0.007417806994653468
7,11724079_s_at_E2F2,0.006674906306969061
25,11718852_a_at_SRPK1,0.006511625581279987
40,11730252_s_at_AHCTF1,0.006332614048864402
19,11745272_a_at_ATP6V1C1,0.006265185112335928
16,11716907_s_at_PITHD1,0.006159078939724703
84,11718992_a_at_FKBP2,0.005465142684915069
9,11750580_x_at_ARHGEF12,0.004960922405865245
100,11719884_s_at_KAZN,0.004684776344736416
95,11722181_a_at_ATP6V1C1,0.004544938693996726
60,11744862_x_at_DHRS7,0.004351167393175324
70,11724283_a_at_ANXA3,0.004241959073226873
12,11763538_x_at_PRR5,0.004015814468574419
93,11721674_s_at_GLRX5,0.003962189753350625
4,11754382_a_at_SMIM5,0.0038107620976782545
65,11741507_a_at_SMOX,0.003517760110360371
57,11734451_at_SULT1B1,0.00343378358197617
6,11758611_s_at_TRIM10,0.003393144732839384
67,11746441_a_at_TGFBR1,0.0033337316931907643
97,11722970_a_at_CREB5,0.003176965195724227
83,11759592_at_PCGF5,0.002891057245773337
2,PTEDUCAT,0.002743320826939547
22,11739958_x_at_BCL2L1,0.002624614946384406
24,11740468_x_at_MAGIX,0.002559185866760236
82,11725953_a_at_RNF10,0.002552112871642758
101,11741528_a_at_ACP1,0.0024842316349439476
48,11734736_a_at_FAR1,0.002333364739549949
33,11731997_at_TRIM58,0.002174000200601512
75,AFFX-r2-Bs-thr-M_s_at_nan,0.0021689379759773416
61,11759606_at_nan,0.0020231620836168407
94,AFFX-DapX-5_at_AFFX-Nonspecific-GC14_at,0.0019356823362019
66,11717000_s_at_GUCD1,0.0018612636501553234
89,11725954_x_at_RNF10,0.0018573274085966897
21,11717258_a_at_PIM1,0.0018519982134874644
32,11731901_a_at_SESN3,0.0016954639264082374
64,11753731_x_at_SNCA,0.0016727002988205
78,11746727_s_at_FBXO38,0.001650090931487412
42,11731415_a_at_PSMD6,0.0015700480885226836
23,11717200_a_at_DPM2,0.0015627881034619197
38,11722640_s_at_SSBP3,0.0013164144137703115
39,11720202_at_GMPR,0.0013029721984896207
85,11740116_s_at_SSBP3,0.00128553688862014
102,11742801_a_at_MAP2K3,0.0012167993592080628
14,11754381_a_at_TMOD1,0.0012012410256904968
63,11731996_at_TRIM58,0.0012012214316484472
52,11744861_a_at_DHRS7,0.0011634725050961594
88,11728079_a_at_TBC1D22B,0.0011217938872840566
73,AFFX-DapX-M_at_AFFX-Nonspecific-GC15_at,0.0010926768347502
81,11715594_a_at_RBM38,0.0010650092638286436
43,11743992_at_UBE2O,0.0010383204010982789
26,11739347_a_at_PIP4K2A,0.0010337312285460417
15,AFFX-r2-Bs-dap-M_at_AFFX-r2-TagO-3_at,0.000980723026173954
54,11754363_s_at_CARM1,0.0009555647245454096
29,11726810_s_at_C19ORF77,0.0009341187491352351
87,11721675_x_at_GLRX5,0.0008036308737892191
56,11732501_a_at_TMOD1,0.0007574482921190195
17,AFFX-r2-Bs-phe-5_at_nan,0.0006584496347652462
76,11754090_a_at_SNCA,0.0006280992338378599
72,11739782_a_at_SNCA,0.0005821277126703781
13,11736205_a_at_OSBP2,0.0005811845308164633
10,11746494_x_at_PIP4K2A,0.0005525345965958931
47,11731447_x_at_SNCA,0.0005094908591405277
50,AFFX-LysX-M_at_AFFX-ThrX-M_at,0.00046021684594382036
36,AFFX-PheX-5_at_AFFX-r2-TagC_at,0.0004465107915591474
86,11746350_a_at_PIM1,0.000414872689172229
1,PTGENDER,0.0003937082643694734
77,11716556_a_at_TNS1,0.00032068596136871946
45,AFFX-r2-Bs-phe-3_at_nan,0.00013574695292800334
79,11715517_s_at_SLC25A39,0.00011376351226256063
90,11721673_at_GLRX5,6.873825098312456e-05
