,features,importance
0,AGE,0.04749951573329489
44,11716563_s_at_AIMP2,0.03917012649442673
248,11739849_x_at_UPK3BL || POLR2J2 || POLR2J3,0.027142973823036716
834,11749369_a_at_VAPB,0.025926231388739094
31,11762503_at_11762535_at,0.022276821748127125
372,11746393_x_at_INTS6,0.017051559216483887
80,11761447_at_nan,0.016803076281375152
1304,11735139_at_TNFSF9,0.01594891429458219
8,11752515_a_at_ODC1,0.014647348899388775
438,11734559_x_at_ADIPOQ,0.013726063358304983
1113,11718492_at_SLC1A2,0.01355941283705992
590,11745132_at_LGALS8-AS1,0.013125877113140515
914,11742626_at_OR14A16,0.012684454335478188
164,11743153_at_C16ORF72,0.0125448204479666
11,11719477_a_at_FASTKD5,0.012059937227354314
1302,11732847_at_CABP7,0.01176751168260256
62,11747640_a_at_TDP2,0.010606664997893582
1176,11757480_x_at_IFI27,0.010062989981604094
764,11743690_x_at_PTCHD2,0.00887996535828643
209,11753189_a_at_MBOAT1,0.00848094402940213
337,11757988_s_at_PRUNE2,0.007587079961582816
74,11720732_a_at_SUMF1,0.007334797281997637
1163,11731938_a_at_FTCD,0.006836671333416518
622,11740291_x_at_CYP4A11,0.006504745332990084
635,11751062_x_at_TCOF1,0.006375692518230009
708,11737445_a_at_SYT16,0.006179725559136968
127,11742218_x_at_SLC13A5,0.006036950328608358
994,11751441_a_at_SLC25A44,0.0056601231007080135
122,11746336_a_at_CNOT8,0.005374792083217165
49,11745718_s_at_LOC100093631 || GTF2I || GTF2IP1,0.005194494861057977
199,11726316_at_SELE,0.005175248474385853
1148,11753451_a_at_WDR41,0.005170894856955366
747,11761471_x_at_ZNF169,0.005143111260240683
1016,11741459_s_at_CYP4A11 || CYP4A22,0.005133104013773942
58,11750499_s_at_ZNF705E || ZNF705B || ZNF705A || ZNF705D,0.004916982457327788
91,11742593_at_OR14C36,0.00462562252845621
1223,11739362_a_at_FKRP,0.004555014730207894
935,11740844_s_at_VWDE,0.004533978796240433
1084,11716035_at_BST2,0.004529744535105948
1255,11716784_at_TRAK2,0.0045206816626837685
98,11730765_at_CD177,0.004482349103209954
1291,11740920_a_at_TSLP,0.004481627009678972
