,features,importance
0,AGE,0.15122621262390284
5,11724534_a_at_DOK5,0.05551590715775227
28,11736713_a_at_LMOD2,0.0320333181339789
18,11754079_s_at_NDUFA5,0.031334041545610515
3,11762092_a_at_LETM1,0.028716556163971108
13,11742599_at_OR6C76,0.026471369194249906
31,11753935_a_at_ATP6V1G3,0.02404579725396381
17,11736486_a_at_RASGEF1B,0.022317601071095004
14,11737332_a_at_TRPM3,0.021695688457760782
22,11730319_at_TNFRSF11B,0.02120170211768539
25,11761597_a_at_TDRD1,0.020263785059854236
23,11747377_a_at_SPATA18,0.01938039034453687
12,11733540_at_CNPY1,0.019167262187267144
21,11760978_at_SUGP1,0.018542490192197798
26,11740468_x_at_MAGIX,0.01821875082281992
35,11755820_a_at_KBTBD3,0.01780304214217936
39,11748261_x_at_RINL,0.017130169586540407
2,PTEDUCAT,0.014384716231400918
96,11739847_x_at_MSR1,0.014273757220057698
7,11722656_s_at_STK17A,0.014162835997511551
4,11721757_at_TMEM47,0.013172484276247622
34,11752527_a_at_ZNF554,0.012219865145165555
15,11729921_a_at_SUV420H2,0.010951582478766283
9,11734701_a_at_DKK3,0.010821047880440974
50,11751556_a_at_NUDT13,0.010627854195952139
86,11744339_a_at_PRMT2,0.010377691668316863
101,11745423_x_at_PRKAR1B,0.010056863703542031
24,11747355_a_at_FSCN1,0.00996165924188794
11,11728000_a_at_CERS1,0.00992938203947227
29,11733635_at_FAM92B,0.00985580481317012
33,11722867_at_CDCP1,0.009623991315423403
32,11759985_at_TMEM161B,0.009521801421648072
20,11750584_a_at_RNF17,0.009475599702028971
10,11751916_a_at_KIAA0586,0.009352431336228024
51,11751690_x_at_AQP7,0.009346321747536395
30,11745558_a_at_BNIPL,0.00882562770203523
74,11744276_a_at_CAPG,0.008406207406447989
92,11756634_a_at_GSR,0.008278198106277142
19,11761727_x_at_AQP7,0.008048624213953724
8,11722118_x_at_LZTS1,0.007810803027002272
16,11719175_a_at_GPRC5B,0.0077832546378271686
83,11754480_s_at_DLG5-AS1,0.007525527788501242
60,11720563_at_PLXNA2,0.007225213806515401
47,11728234_a_at_CLDN1,0.006645362913037001
27,11756834_a_at_PRKAG3,0.006558072554694997
6,11729475_a_at_GGN,0.006528539584231832
71,11733795_a_at_STX7,0.006200689211432585
66,11729448_a_at_TINF2,0.006011316682671146
59,11761206_at_11761238_at,0.005976523650601936
90,11761377_x_at_ZNF90 || ENSG00000261352,0.00595045664365343
68,11744514_a_at_YIPF2,0.005734415339851701
49,11735999_a_at_ZNF791,0.005473362011755289
99,11737269_x_at_RHD,0.005441843216334895
36,11717726_s_at_HN1,0.005435941948378416
91,11733118_at_SLC35B4,0.005357561575253152
88,11742278_a_at_CTH,0.005310380487562597
98,11738755_at_OR1J1,0.004886839225528767
43,11736060_a_at_KIF5B,0.004599476100018858
63,11763160_x_at_nan,0.004295842968799261
76,11738218_at_GPR151,0.004086726303422082
100,11745487_a_at_ZNF512,0.004081260642373418
73,11723265_a_at_SAYSD1,0.0038954981730573734
81,11720088_x_at_NUCB2,0.0038325027068974496
72,11759341_at_RGR,0.0037452609365536114
82,11724884_x_at_HAPLN3,0.0034863984510142693
97,11746134_s_at_NOP56,0.0034464192731016477
52,11718361_at_COIL,0.0033819527290579747
87,11754305_a_at_ULK3,0.0033157969952931467
62,11718388_a_at_NUDT2,0.0032538196718381036
41,11724846_s_at_NR2C2AP,0.0032465915058599165
37,11741666_a_at_LAX1,0.003107295866982759
67,11751483_s_at_BGN,0.003090612417964471
64,11720133_a_at_PROS1,0.0029825376198176195
77,11721767_s_at_ATAD3A || ATAD3B,0.0029797638670531683
57,11736723_a_at_PDLIM7,0.0028544778679261444
69,11758598_s_at_SERPINE2,0.0028087150257022366
102,11755056_a_at_ANKRD54,0.0028080564935790003
40,11722587_at_EXOSC3,0.0026833763374016326
45,11744230_s_at_RASL11B,0.0026305533045351674
78,11723494_a_at_RNF166,0.002494073709907592
53,11733553_a_at_MAGI1,0.002472628310600011
38,11735336_at_CPLX4,0.002425416140119477
65,11724348_s_at_ASTN2,0.002369525244120364
48,11738385_at_NEUROG3,0.002296780710522939
42,11763092_at_11763124_at,0.0020983054843574443
80,11743576_at_CPE,0.0019859502740459745
85,11722242_at_TSPAN12,0.00180149633892004
94,11739177_at_ABHD17B,0.0017699137954054066
56,11731356_a_at_IP6K3,0.0017227329098941306
89,11764158_at_11764190_at,0.0017162308665053983
44,11716610_a_at_AP2S1,0.0016836937261375572
58,11748133_s_at_SLC2A11,0.0015263438099436494
70,11724343_at_ITGA4,0.0015078632072031315
55,11728931_a_at_FXYD7,0.001439121671429585
95,11726931_a_at_TET1,0.0013905749228357582
46,11751822_a_at_MCM6,0.0010794904119436858
54,11732937_a_at_CPT1A,0.0010540576776099932
79,11757287_x_at_CSTB,0.0010416456105335596
61,11760940_at_HDAC6,0.0010366967879692952
93,11737058_a_at_PANK2,0.001030653704675726
84,11749640_a_at_TNKS,0.0005978864862393574
75,11731836_a_at_SLC35C2,0.00024262698704105457
1,PTGENDER,8.819750078519434e-06
