,features,importance
0,AGE,0.0625402876383408
56,11717215_a_at_ATP9A,0.05118779279162187
29,11748344_x_at_RABL5,0.04640824507669361
8,11734098_at_C14ORF37,0.04589538552085547
81,11748633_a_at_VHL,0.02794760443686788
50,11729818_s_at_IGF1,0.02644100064439236
19,11748062_s_at_CCR5,0.02596722039124088
46,11725151_at_MYBPC3,0.023583313725395204
39,11717767_a_at_ATMIN,0.02246504290587857
38,11741318_a_at_KCNJ1,0.021264224716972695
40,11733513_a_at_WLS,0.02079159701157269
18,11761779_a_at_11761811_at,0.018574744467452293
61,11721540_a_at_MAPK13,0.01846903037441737
89,11737984_at_TENM1,0.017430032946864914
32,11759900_at_TMEM144,0.016164269254866737
45,11761136_at_11761168_at,0.015989972149797794
65,11721633_s_at_TMEM97,0.015144028281293754
22,11715132_x_at_HIST1H2BH,0.01497698389808708
58,11740560_x_at_NSMAF,0.014787631819393913
20,11763792_a_at_11763824_at,0.014687872316496214
48,11719308_a_at_RASSF4,0.013169867527587543
80,11724606_a_at_MAP2K6,0.012675547721492493
7,11762194_x_at_AGER,0.012635471641171594
92,11721329_a_at_RNGTT,0.012579367396302854
27,11717863_a_at_DUSP5,0.012368799354502146
4,11756513_a_at_SFXN5,0.012317742333253199
10,11731375_a_at_CAMKK2,0.011777611156129889
62,11723495_a_at_RNF166,0.011766814631393636
34,11723615_a_at_DYRK1A,0.011590271127708234
30,11757087_x_at_TBC1D3,0.011531726343966124
9,11725789_at_DPYD,0.011323390883789676
3,11735339_at_LINC00482,0.01079710103537971
83,11744076_a_at_OLAH,0.010764645287450166
79,11731018_at_SIX6,0.010026873473766724
23,11727445_a_at_TMEM255A,0.009856465364458231
74,11757857_s_at_XIST,0.00964087232328155
67,11737032_x_at_FBXL13,0.008857850923959429
53,11745018_a_at_WLS,0.00861915091946599
13,11762865_a_at_nan,0.008369757048361215
76,11751152_x_at_ARFGAP1,0.008358513616665742
73,11722220_a_at_WBP4,0.008067270909901609
90,11716604_a_at_KBTBD2,0.007886245585137616
17,11746877_a_at_MXD3,0.007771151963930194
69,11735945_x_at_UTY,0.0077135663141773775
54,11753689_x_at_MDM2,0.00755653782522058
82,11717203_at_SEL1L,0.007537536992022353
47,11727837_at_ORC6,0.007054973551198404
5,11722971_a_at_CREB5,0.006732083998313858
2,PTEDUCAT,0.0063807375946404975
21,11724076_a_at_DDX3Y,0.006293752017508179
6,11721632_a_at_TMEM97,0.00627090909441136
85,11716411_x_at_RPS4Y1,0.006269379989967338
70,11763812_at_UTY,0.0062610755617035375
42,11723470_a_at_LPGAT1,0.005941019678533162
91,11718760_a_at_WLS,0.00585514498234461
68,11734664_x_at_DDX3Y,0.005848344001720855
96,11727130_a_at_CPD,0.005775857564978183
98,11719666_a_at_STMN1,0.005682531723982376
86,11754194_s_at_XIST,0.0056536509285601355
43,11740187_at_ARL11,0.005269287270603963
72,11743089_a_at_LRRC6,0.0050177208773197505
99,11759969_at_STAT5B,0.004888179121150623
88,11728530_a_at_BLNK,0.004885365856162396
33,11756433_a_at_MSL1,0.004685999293937331
31,11724077_x_at_DDX3Y,0.00466489969407847
11,11753885_a_at_MAPK14,0.004551564740234199
60,11740559_a_at_NSMAF,0.00447705255196617
87,11744888_a_at_LMNB1,0.00447137624073485
66,11731577_a_at_SLC22A1,0.0041976905117406295
52,11756516_a_at_PISD,0.0038687521040154395
71,11737809_at_KCNH7,0.003740364899076524
36,11749841_x_at_DDX3Y,0.003706655824745181
94,11726347_x_at_LAT2,0.003688494916891698
95,11729853_at_PADI4,0.003624752658365551
25,11751255_a_at_GUSBP11,0.0035913060360519716
55,11735170_at_MXD3,0.00346134162426773
35,11757780_x_at_RPS4X,0.003453746649372128
78,11760084_x_at_LOC254896,0.0034362845771675186
64,11745620_x_at_AGER,0.003380574752272366
93,11715745_a_at_KIAA1191,0.003355559005994783
44,11740804_a_at_FBXL13,0.003273834011352549
100,11764064_s_at_11764096_at,0.003129028238094783
102,11752332_x_at_MEFV,0.00299747997708139
37,11762411_at_11762443_at,0.002985123220111813
59,11734436_a_at_11734468_x_at,0.002825053920979129
24,11721739_a_at_LATS2,0.0025759016320394206
41,11742204_a_at_MAPK14,0.0024248636302236512
28,11761745_at_IGSF6,0.0024155510711410893
84,11750365_x_at_AGER,0.002387834761038365
101,11756566_a_at_RASSF2,0.0023397477416343556
12,11747782_x_at_CTBP2,0.0021825492111185946
75,11750265_x_at_CTBP2,0.0021012846451261657
77,11753676_x_at_AGER,0.0019506946177849462
63,11752379_a_at_MCTP1,0.0018426207076910964
14,11759193_a_at_TXLNG,0.0018352369410665028
97,11726813_a_at_KDM5D,0.0018295020735586173
16,11742487_a_at_MAPK14,0.0017634251351412587
57,11756871_x_at_SNX10,0.0017511378432977424
15,11751096_a_at_SNX10,0.0015886819581893926
49,11755349_a_at_GDPD3,0.0015442627527217584
26,11748424_x_at_DDX3Y,0.0009958921340332773
51,11740001_x_at_CTBP2,0.0005405955732732133
1,PTGENDER,6.838240311160967e-06
