,features,importance
0,AGE,0.09406064035769736
80,11761447_at_nan,0.05650731252891634
71,11716563_s_at_AIMP2,0.051674030245458795
79,AFFX-HUMRGE/M10098_M_at_AFFX-PheX-M_at,0.05041069301713605
66,11758109_s_at_ZNF428,0.04244973928836409
5,11753165_a_at_RAB27A,0.03676217251785927
83,11746441_a_at_TGFBR1,0.035233110887451506
45,11726781_a_at_ADD2,0.03229450890428777
26,11721929_x_at_TMCC2,0.03138424745247382
65,11726915_at_SLCO4C1,0.028324119485230895
86,11756127_a_at_PGM1,0.02709033203867841
68,11724283_a_at_ANXA3,0.02545262053016874
61,11755537_s_at_HBG2,0.022686466075307613
69,11763312_at_MXD4,0.02263734290595974
94,11746268_a_at_ZNF630,0.0211241721290154
25,11750686_a_at_KIF3C,0.02077647479496107
98,11723254_a_at_HAT1,0.017070710619202394
102,11715416_s_at_DDB1,0.01704919386472824
36,11758186_s_at_ENSA,0.01633673145010311
11,11717315_a_at_DTD1,0.014992233864794622
6,11724079_s_at_E2F2,0.013038733217350483
57,11760223_at_nan,0.012912907128518584
67,11728078_a_at_TBC1D22B,0.012764372891845314
4,11720311_a_at_XRCC5,0.011980341239295205
37,11737438_a_at_BMF,0.011797735237672793
39,11734451_at_SULT1B1,0.010374745877920246
91,11756334_x_at_ANXA3,0.009592673017032843
7,11724008_a_at_ENTPD1,0.009312960434047795
75,11731415_a_at_PSMD6,0.00916185311417009
72,11752515_a_at_ODC1,0.008749293868152564
97,11726866_at_FOXO4,0.0085653109832009
23,11717374_at_DNAJC3,0.008098698260584725
19,AFFX-ThrX-5_at_AFFX-r2-TagF_at,0.008091310573519493
40,11726895_a_at_IRAK3,0.0079611340111404
30,11733482_a_at_DYRK3,0.0076610640006693174
16,11741507_a_at_SMOX,0.007525954436683202
85,11717258_a_at_PIM1,0.0069273654482563994
21,11722183_s_at_ATP6V1C1,0.006668759909502344
101,11756937_s_at_RSC1A1 || DDI2,0.006609970730678326
10,11717000_s_at_GUCD1,0.006456773590905424
48,11759514_at_nan,0.006205559044866846
55,11724567_a_at_USP48,0.006185231176248366
88,11728845_a_at_NCOA1,0.0060232966032081735
22,11729970_a_at_SPTB,0.005590511813574279
20,11758696_x_at_HBG1 || HBG2,0.005075915745255742
38,11763538_x_at_PRR5,0.004901092838322712
27,AFFX-HUMRGE/M10098_3_at_AFFX-PheX-3_at,0.004820148525117946
33,11721864_s_at_SLC37A3,0.004780892493766544
92,11716907_s_at_PITHD1,0.004583612647203096
62,11734345_a_at_TRIM10,0.0037227736679573543
58,11758104_s_at_RAB2B,0.003549516399348679
43,11758698_x_at_HBG1,0.003545013525986212
47,11725954_x_at_RNF10,0.0034428959897593657
12,11717153_a_at_APMAP,0.0033868465568454506
81,11743992_at_UBE2O,0.003346943545736362
60,11718852_a_at_SRPK1,0.003048498691689731
99,11717200_a_at_DPM2,0.002979963456972612
74,AFFX-DapX-5_at_AFFX-Nonspecific-GC14_at,0.0029344477682404007
93,11758237_s_at_AGO4,0.0027602436699944973
9,11731997_at_TRIM58,0.002726541556414917
49,11720387_a_at_MRC2,0.002705865945802136
54,11715594_a_at_RBM38,0.002674991233977966
29,11726896_a_at_IRAK3,0.002657882198345786
44,AFFX-PheX-M_at_AFFX-r2-TagD_at,0.0025787844665142424
15,11741967_a_at_CDYL,0.002448315439823084
41,AFFX-HUMRGE/M10098_5_at_AFFX-PheX-5_at,0.002383566885434211
50,11741508_x_at_SMOX,0.0023582524602121196
100,AFFX-LysX-M_at_AFFX-ThrX-M_at,0.0023516025612020765
70,AFFX-r2-Bs-dap-5_at_AFFX-r2-TagJ-5_at,0.0023051251033329194
56,AFFX-DapX-M_at_AFFX-Nonspecific-GC15_at,0.002187083318653697
2,PTEDUCAT,0.0021601478135475764
32,11745272_a_at_ATP6V1C1,0.0021033354213522786
59,11722181_a_at_ATP6V1C1,0.002070142377229386
95,11741528_a_at_ACP1,0.0020690964143024594
78,11750580_x_at_ARHGEF12,0.0020334024318679087
34,AFFX-r2-Bs-phe-M_at_nan,0.001994442292225939
8,11723255_x_at_HAT1,0.00195602195252153
82,11728079_a_at_TBC1D22B,0.0018996567073121349
73,11755705_a_at_SMIM5,0.0018596927479312406
17,11732501_a_at_TMOD1,0.001793733350673528
84,11736205_a_at_OSBP2,0.0017355116577578086
96,11739347_a_at_PIP4K2A,0.0016427715532727192
64,11754381_a_at_TMOD1,0.0015331839285100146
18,11717449_a_at_ASCC2,0.0013350898686470126
51,AFFX-DapX-3_at_AFFX-Nonspecific-GC13_at,0.0012949675005059556
52,AFFX-r2-Bs-lys-5_at_AFFX-r2-TagQ-3_at,0.0012778998473069534
28,11716302_s_at_ACSL1,0.0012707687202129813
53,11740071_x_at_PSMF1,0.0012208624133412786
87,11734736_a_at_FAR1,0.0011700096467451237
1,PTGENDER,0.0011519750570808192
63,AFFX-PheX-5_at_AFFX-r2-TagC_at,0.0011477493034324116
76,11758611_s_at_TRIM10,0.0011071487659085606
90,AFFX-r2-Bs-phe-3_at_nan,0.001039050185073844
42,11746727_s_at_FBXO38,0.0009770478950264527
89,AFFX-r2-Bs-lys-M_at_AFFX-r2-TagQ-5_at,0.0009768951574755614
13,11743648_a_at_DCAF6,0.0009133054788064174
24,AFFX-LysX-5_at_AFFX-ThrX-5_at,0.0008504918073605743
14,11739958_x_at_BCL2L1,0.0008167499154401776
77,11761978_at_ARHGEF12,0.0006615607410166811
31,AFFX-r2-Bs-thr-M_s_at_nan,0.0005950098402317656
3,11746494_x_at_PIP4K2A,0.00029949673682863506
46,11755356_x_at_PSMF1,0.00014092161614396548
35,11716557_a_at_TNS1,7.163459616107347e-05
