,features,importance
0,AGE,0.009708737864077669
65,11722131_a_at_PLCB2,0.009708737864077669
75,11762199_s_at_LOC100287497 || LOC100287934,0.009708737864077669
74,11755830_a_at_MYO1G,0.009708737864077669
73,11754596_x_at_PAICS,0.009708737864077669
72,11723546_s_at_PLD1,0.009708737864077669
71,11758252_s_at_HSD3B7,0.009708737864077669
70,11729616_a_at_UBE2J2,0.009708737864077669
69,11728852_a_at_TUB,0.009708737864077669
68,11728064_a_at_GPER1,0.009708737864077669
67,11740065_at_IL17RA,0.009708737864077669
66,11724659_a_at_RBFOX3,0.009708737864077669
64,11744156_a_at_RPS6KA1,0.009708737864077669
77,11726800_at_EBF1,0.009708737864077669
63,11752057_a_at_VPS35,0.009708737864077669
62,11756587_a_at_PTGDS,0.009708737864077669
61,11741861_a_at_AGER,0.009708737864077669
60,11750220_x_at_NUP43,0.009708737864077669
59,11726045_x_at_AGER,0.009708737864077669
58,11718465_s_at_NCK2,0.009708737864077669
57,11755319_a_at_ANKRD13D,0.009708737864077669
56,11731018_at_SIX6,0.009708737864077669
55,11737695_a_at_KCNQ2,0.009708737864077669
54,11755009_s_at_VCAN,0.009708737864077669
76,11726801_at_EBF1,0.009708737864077669
78,11740396_a_at_NLRP12,0.009708737864077669
52,11751084_s_at_PLXND1,0.009708737864077669
91,11734923_a_at_ATHL1,0.009708737864077669
101,11736769_a_at_USP45,0.009708737864077669
100,11715156_s_at_KRTAP6-1,0.009708737864077669
99,11729768_s_at_DGAT1,0.009708737864077669
98,11751432_a_at_ADAP1,0.009708737864077669
97,11761136_at_11761168_at,0.009708737864077669
96,11716374_s_at_PTK2,0.009708737864077669
95,11741348_x_at_DLG4,0.009708737864077669
94,11753676_x_at_AGER,0.009708737864077669
93,11757684_a_at_TPD52L2,0.009708737864077669
92,11720822_a_at_ASL,0.009708737864077669
90,11723437_at_CEP41,0.009708737864077669
79,11728679_a_at_CD163,0.009708737864077669
89,11739566_a_at_FKBP5,0.009708737864077669
88,11715534_a_at_LRP1,0.009708737864077669
87,11754962_a_at_KAZN,0.009708737864077669
86,11715745_a_at_KIAA1191,0.009708737864077669
85,11726583_s_at_CKAP4,0.009708737864077669
84,11726044_a_at_AGER,0.009708737864077669
83,11754492_x_at_PLCB2,0.009708737864077669
82,11740318_s_at_KCNJ3,0.009708737864077669
81,11754997_a_at_ARFGAP1,0.009708737864077669
80,11726465_a_at_ADORA3,0.009708737864077669
53,11758827_at_SLC27A3,0.009708737864077669
51,11742208_a_at_VCAN,0.009708737864077669
1,PTGENDER,0.009708737864077669
13,11721122_x_at_SPNS1,0.009708737864077669
23,11748164_a_at_VCAN,0.009708737864077669
22,11757562_s_at_CLEC18C || CLEC18A || CLEC18B,0.009708737864077669
21,11727641_at_NOM1,0.009708737864077669
20,11756033_x_at_AGER,0.009708737864077669
19,11752154_x_at_NBEAL2,0.009708737864077669
18,11749639_a_at_ZNF449,0.009708737864077669
17,11732286_a_at_DZIP3,0.009708737864077669
16,11750365_x_at_AGER,0.009708737864077669
15,11748180_a_at_SERPINB8,0.009708737864077669
14,11757741_s_at_SOX4,0.009708737864077669
12,11719308_a_at_RASSF4,0.009708737864077669
25,11729377_a_at_TMEM205,0.009708737864077669
11,11720734_s_at_INPPL1,0.009708737864077669
10,11732287_at_DZIP3,0.009708737864077669
9,11718197_at_LHFP,0.009708737864077669
8,11736730_a_at_RIMS2,0.009708737864077669
7,11751287_a_at_MMP19,0.009708737864077669
6,11745620_x_at_AGER,0.009708737864077669
5,11731807_at_CATSPER1,0.009708737864077669
4,11735339_at_LINC00482,0.009708737864077669
3,11762194_x_at_AGER,0.009708737864077669
2,PTEDUCAT,0.009708737864077669
24,11757417_x_at_CD63,0.009708737864077669
26,11721844_a_at_MFAP5,0.009708737864077669
50,11740001_x_at_CTBP2,0.009708737864077669
39,11716804_at_PLEKHA2,0.009708737864077669
49,11722220_a_at_WBP4,0.009708737864077669
48,11760310_x_at_SCYL1,0.009708737864077669
47,11763417_a_at_HCG8,0.009708737864077669
46,11742700_s_at_C1R,0.009708737864077669
45,11751180_a_at_ADAM10,0.009708737864077669
44,11749007_a_at_RIMS1,0.009708737864077669
43,11740232_x_at_ASL,0.009708737864077669
42,11722039_x_at_FES,0.009708737864077669
41,11747355_a_at_FSCN1,0.009708737864077669
40,11723599_a_at_PHLPP2,0.009708737864077669
38,11750280_x_at_EFEMP2,0.009708737864077669
27,11725394_s_at_ZASP* || LRCH4,0.009708737864077669
37,11757714_x_at_DNAJB13,0.009708737864077669
36,11755925_s_at_CTSD,0.009708737864077669
35,11763472_x_at_11763504_at,0.009708737864077669
34,11761391_at_MTTP,0.009708737864077669
33,11746391_a_at_C5ORF28,0.009708737864077669
32,11732412_a_at_GPER1,0.009708737864077669
31,11725151_at_MYBPC3,0.009708737864077669
30,11723495_a_at_RNF166,0.009708737864077669
29,11717465_s_at_LXN,0.009708737864077669
28,11728784_a_at_ING3,0.009708737864077669
102,11734611_at_GUCY2D,0.009708737864077669
