,features,importance
49,11734898_at_IPP,0.06497900707818689
57,11755024_a_at_MYEOV,0.05953823452544046
0,AGE,0.05440591035654495
65,11733482_a_at_DYRK3,0.05227213029109853
29,11764028_at_11764060_x_at,0.0413626771972604
52,AFFX-LysX-5_at_AFFX-ThrX-5_at,0.03449048185392786
43,11717315_a_at_DTD1,0.034480955424026495
46,11726316_at_SELE,0.03426980841941163
24,11760946_at_nan,0.0337869529564152
17,11752906_a_at_TELO2,0.031030786582820057
62,11717049_s_at_DES,0.027812569209696002
38,11725134_a_at_GCOM1 || POLR2M,0.02661478461897164
31,11752432_s_at_ALPP,0.025939503602186352
18,11754743_a_at_CWC22,0.02326185400116128
55,11753682_s_at_LSM12,0.020092428536986603
8,11720732_a_at_SUMF1,0.01992739342707811
53,11751760_s_at_LSM12,0.01884254422894037
86,11719477_a_at_FASTKD5,0.017630032356917163
11,11721629_a_at_MAFB,0.01759239723526451
68,11753445_a_at_HMOX1,0.01478434511054862
92,11728867_a_at_PCK2,0.014661378236998231
13,11730800_a_at_CRTC1,0.01376402213010013
28,11747479_x_at_MLST8,0.013394102213545625
6,11731421_a_at_UBE2G2,0.013283101773833832
27,11740468_x_at_MAGIX,0.012648765522437306
95,11718992_a_at_FKBP2,0.012503377064918959
5,11757335_s_at_MTIF3,0.012061108636409489
83,11723064_a_at_TMEM18,0.011627221255755054
47,11735720_s_at_ARMCX5,0.011575397220817352
100,11746494_x_at_PIP4K2A,0.01052457111556179
10,AFFX-ThrX-3_at_AFFX-r2-TagE_at,0.010179869379292003
60,11729035_at_ITPRIPL2,0.009331812700165846
77,11719375_x_at_METTL7A,0.009010327239151404
85,11737438_a_at_BMF,0.0083838785342672
14,11758277_x_at_LOC100288142 || LOC101060226 || LOC101060684 || NBPF12 || NBPF11 || NBPF14 || NBPF15 || NBPF9 || NBPF8 || NBPF24 || NBPF16,0.008327027002217763
39,11755450_a_at_ZNF608,0.007759020307355446
76,11750256_a_at_RSF1,0.006838123262475712
89,11724395_a_at_ZNF83,0.006525025976516223
22,11735406_at_RNF215,0.006180452667476683
91,11752671_a_at_NARFL,0.006158793384568223
50,11741528_a_at_ACP1,0.006087859902986
69,11719493_s_at_AK6,0.005727361216598173
