,features,importance
85,11726810_s_at_C19ORF77,0.07289078831672668
23,11740468_x_at_MAGIX,0.06905423104763031
1,11762503_at_11762535_at,0.05867420509457588
98,11720732_a_at_SUMF1,0.05805660039186478
45,11730765_at_CD177,0.05300241708755493
36,AGE,0.0427873358130455
13,11742593_at_OR14C36,0.04191052168607712
63,11738864_a_at_ABHD12B,0.040272362530231476
40,11747640_a_at_TDP2,0.03955768793821335
69,11760223_at_nan,0.038743384182453156
16,11750143_a_at_PIGZ,0.03303389251232147
7,11763538_x_at_PRR5,0.032697781920433044
17,11750558_s_at_ZNF271,0.02934180572628975
11,11724283_a_at_ANXA3,0.02778315544128418
25,11753445_a_at_HMOX1,0.02713807299733162
76,11734451_at_SULT1B1,0.027046408504247665
81,11757581_x_at_MT1X,0.026727870106697083
99,11750499_s_at_ZNF705E || ZNF705B || ZNF705A || ZNF705D,0.023703474551439285
34,11742943_a_at_CKM,0.02267633005976677
10,AFFX-r2-Bs-dap-M_at_AFFX-r2-TagO-3_at,0.021729473024606705
28,11726385_a_at_MT1X,0.021192897111177444
24,11730252_s_at_AHCTF1,0.021082762628793716
21,11761978_at_ARHGEF12,0.02034730464220047
62,11750580_x_at_ARHGEF12,0.01640644669532776
79,PTEDUCAT,0.01435281801968813
75,AFFX-DapX-M_at_AFFX-Nonspecific-GC15_at,0.01434617955237627
48,11731901_a_at_SESN3,0.010812612250447273
9,11722970_a_at_CREB5,0.010417567566037178
91,11745718_s_at_LOC100093631 || GTF2I || GTF2IP1,0.009219059720635414
46,11718871_x_at_PALMD,0.009135398082435131
60,11747852_s_at_ISLR,0.009069064632058144
42,11747106_a_at_RREB1,0.00897635705769062
26,11741507_a_at_SMOX,0.008181646466255188
86,11718992_a_at_FKBP2,0.007405926939100027
89,AFFX-r2-Bs-phe-5_at_nan,0.00674446439370513
64,11744861_a_at_DHRS7,0.006417957134544849
88,11719884_s_at_KAZN,0.005040675401687622
65,11723027_at_ITLN1,0.004202487878501415
5,11734736_a_at_FAR1,0.003774282056838274
55,11746494_x_at_PIP4K2A,0.002810390666127205
3,11758611_s_at_TRIM10,0.0021115788258612156
39,11719828_x_at_QPCT,0.0009972762782126665
30,11739339_s_at_FAM46C,0.0001270516513613984
82,11750705_a_at_OSBP2,0.0
74,11731996_at_TRIM58,0.0
100,11718852_a_at_SRPK1,0.0
68,11725953_a_at_RNF10,0.0
97,11717258_a_at_PIM1,0.0
96,11759592_at_PCGF5,0.0
70,11728079_a_at_TBC1D22B,0.0
71,11718038_s_at_DCAF12,0.0
72,11739347_a_at_PIP4K2A,0.0
73,11754382_a_at_SMIM5,0.0
95,11761447_at_nan,0.0
94,11731415_a_at_PSMD6,0.0
93,11744862_x_at_DHRS7,0.0
77,11753731_x_at_SNCA,0.0
92,11721673_at_GLRX5,0.0
78,11732501_a_at_TMOD1,0.0
90,AFFX-DapX-5_at_AFFX-Nonspecific-GC14_at,0.0
87,11716563_s_at_AIMP2,0.0
80,11736205_a_at_OSBP2,0.0
67,11759606_at_nan,0.0
84,11717404_x_at_TDP2,0.0
83,11725954_x_at_RNF10,0.0
0,11742801_a_at_MAP2K3,0.0
51,11716556_a_at_TNS1,0.0
66,11720202_at_GMPR,0.0
18,11746441_a_at_TGFBR1,0.0
31,AFFX-LysX-M_at_AFFX-ThrX-M_at,0.0
29,11740116_s_at_SSBP3,0.0
27,11754363_s_at_CARM1,0.0
22,11739958_x_at_BCL2L1,0.0
20,11741528_a_at_ACP1,0.0
19,11739782_a_at_SNCA,0.0
15,11741967_a_at_CDYL,0.0
33,AFFX-r2-Bs-thr-M_s_at_nan,0.0
14,AFFX-PheX-5_at_AFFX-r2-TagC_at,0.0
12,11743992_at_UBE2O,0.0
8,11721675_x_at_GLRX5,0.0
6,11717000_s_at_GUCD1,0.0
4,11724079_s_at_E2F2,0.0
2,11722182_a_at_ATP6V1C1,0.0
32,11722181_a_at_ATP6V1C1,0.0
35,AFFX-r2-Bs-phe-3_at_nan,0.0
61,11755705_a_at_SMIM5,0.0
52,11731997_at_TRIM58,0.0
59,11746350_a_at_PIM1,0.0
58,11717200_a_at_DPM2,0.0
57,11721674_s_at_GLRX5,0.0
56,11715594_a_at_RBM38,0.0
54,11745272_a_at_ATP6V1C1,0.0
53,11715517_s_at_SLC25A39,0.0
50,11731447_x_at_SNCA,0.0
37,11754381_a_at_TMOD1,0.0
49,11746727_s_at_FBXO38,0.0
47,11752515_a_at_ODC1,0.0
44,11719477_a_at_FASTKD5,0.0
43,11722640_s_at_SSBP3,0.0
41,11754090_a_at_SNCA,0.0
38,11721863_a_at_SLC37A3,0.0
101,11716907_s_at_PITHD1,0.0
