,features_fold0,importance_fold0,features_fold1,importance_fold1,features_fold2,importance_fold2,features_fold3,importance_fold3,features_fold4,importance_fold4
0,AGE,0.05137179,AGE,0.05241623,AGE,0.06448871,AGE,0.035081454,AGE,0.048786923
1,PTEDUCAT,0.064223304,PTEDUCAT,0.048959464,PTEDUCAT,0.026711786,PTEDUCAT,0.022103993,PTEDUCAT,0.05966392
2,11761978_at_ARHGEF12,0.09679364,11719477_a_at_FASTKD5,0.07815149,11763538_x_at_PRR5,0.103760295,11720732_a_at_SUMF1,0.13827623,11738864_a_at_ABHD12B,0.0
3,11750580_x_at_ARHGEF12,0.0,11755705_a_at_SMIM5,0.07291488,AFFX-r2-Bs-phe-M_at_nan,0.15632185,11747479_x_at_MLST8,0.0,11743803_s_at_SEPHS2,0.038672384
4,11758611_s_at_TRIM10,0.0261998,11752515_a_at_ODC1,0.0,11726810_s_at_C19ORF77,0.069105364,11754381_a_at_TMOD1,0.0,11750558_s_at_ZNF271,0.053384148
5,11719477_a_at_FASTKD5,0.016919022,11762503_at_11762535_at,0.09995453,11716557_a_at_TNS1,0.0,11746312_x_at_ZNF326,0.10470673,11746494_x_at_PIP4K2A,0.035753347
6,11762503_at_11762535_at,0.08299967,11761447_at_nan,0.04665954,11738864_a_at_ABHD12B,0.10156854,11725278_at_IHH,0.101431474,11746510_x_at_PSMD6,0.03797195
7,11745272_a_at_ATP6V1C1,0.0,11742943_a_at_CKM,0.07613541,AFFX-ThrX-5_at_AFFX-r2-TagF_at,0.054355983,11750143_a_at_PIGZ,0.060200613,11746727_s_at_FBXO38,0.0
8,11725954_x_at_RNF10,0.0,11754382_a_at_SMIM5,0.0,11721863_a_at_SLC37A3,0.042439315,11753080_s_at_DPF2,0.03836478,11736091_s_at_GCA,0.0
9,11720529_at_JAZF1,0.0,11757581_x_at_MT1X,0.12864949,AFFX-r2-Bs-thr-5_s_at_nan,0.0,11723064_a_at_TMEM18,0.038489565,11752320_x_at_EIF2AK1,0.058095198
10,11728631_a_at_LYSMD1,0.14306343,11760223_at_nan,0.15796064,AFFX-ThrX-M_at_AFFX-r2-TagG_at,0.0,11755456_a_at_AP2S1,0.0,11743010_at_NFIL3,0.040017027
11,11717912_s_at_CXCL14,0.117695354,11726385_a_at_MT1X,0.011979292,11739781_a_at_TGM2,0.0,11760223_at_nan,0.025853189,11719302_a_at_PYGL,0.0
12,11731901_a_at_SESN3,0.070684895,11758611_s_at_TRIM10,0.0,11720202_at_GMPR,0.0,11717110_a_at_REPIN1,0.0,11721033_a_at_FAM107A,0.03906884
13,11725953_a_at_RNF10,0.0,11746011_a_at_METTL15,0.0,11761978_at_ARHGEF12,0.022015419,AFFX-r2-Bs-thr-M_s_at_nan,0.07413488,11747751_s_at_SLC2A14 || SLC2A3,0.0
14,11719375_x_at_METTL7A,0.11415065,11737974_s_at_PLEKHG5 || TNFRSF25,0.0,11739347_a_at_PIP4K2A,0.0,11725954_x_at_RNF10,0.0,11715482_a_at_MCL1,0.0
15,11726219_x_at_DMTN,0.0,11759606_at_nan,0.0,11746494_x_at_PIP4K2A,0.07750965,11747106_a_at_RREB1,0.0,11726316_at_SELE,0.043712568
16,11734451_at_SULT1B1,0.057443738,11760838_at_FAM179B,0.0745746,11750143_a_at_PIGZ,0.099922284,11763093_x_at_11763125_x_at,0.058328036,11741964_s_at_VEGFA,0.065357305
17,11757988_s_at_PRUNE2,0.0,11724336_a_at_HSPA12A,0.0,11717258_a_at_PIM1,0.0,11758104_s_at_RAB2B,0.0,11716563_s_at_AIMP2,0.0
18,11743606_a_at_ACSL3,0.0,11723247_a_at_SFRP1,0.10282453,AFFX-LysX-M_at_AFFX-ThrX-M_at,0.0,11740605_x_at_TLX2,0.0,11733867_a_at_HLA-DOA,0.090676144
19,11716261_a_at_AP2B1,0.032225154,AFFX-ThrX-5_at_AFFX-r2-TagF_at,0.0,11722092_x_at_PRR5,0.0,11746727_s_at_FBXO38,0.058711562,11746393_x_at_INTS6,0.0
20,11730252_s_at_AHCTF1,0.045906927,AFFX-DapX-5_at_AFFX-Nonspecific-GC14_at,0.0,11752515_a_at_ODC1,0.03353332,11761658_at_ACOT11,0.0478653,11724061_s_at_OSBPL1A,0.10515401
21,11757979_x_at_DEGS1,0.0,11726781_a_at_ADD2,0.0,11759606_at_nan,0.0,11757065_x_at_BANF1,0.010909238,11750749_a_at_BCL6,0.0
22,11758698_x_at_HBG1,0.042796254,11737280_at_IFIT1B,0.0,11750580_x_at_ARHGEF12,0.0,11718429_at_EMD,0.013952629,11718644_x_at_OSBPL8,0.08243145
23,11754090_a_at_SNCA,0.0,AFFX-PheX-M_at_AFFX-r2-TagD_at,0.048819907,11750705_a_at_OSBP2,0.0,11723379_a_at_CEP170B,0.054818824,11747640_a_at_TDP2,0.10930205
24,11747650_a_at_LRRC41,0.0,AFFX-HUMRGE/M10098_M_at_AFFX-PheX-M_at,0.0,AFFX-r2-Bs-dap-5_at_AFFX-r2-TagJ-5_at,0.0,11731071_at_NOXO1,0.116771504,11718407_a_at_TMBIM6,0.04286647
25,11749029_a_at_SART3,0.037526388,AFFX-HUMRGE/M10098_5_at_AFFX-PheX-5_at,0.0,AFFX-r2-Bs-dap-M_at_AFFX-r2-TagO-3_at,0.0,11716842_a_at_CD53,0.0,11761658_at_ACOT11,0.049086295
26,11759592_at_PCGF5,0.0,11739781_a_at_TGM2,0.0,11758611_s_at_TRIM10,0.14826743,11720202_at_GMPR,0.0,11716302_s_at_ACSL1,0.0
