,features_fold0,importance_fold0,features_fold1,importance_fold1,features_fold2,importance_fold2,features_fold3,importance_fold3,features_fold4,importance_fold4
0,AGE,0.056887247,AGE,0.06403467,AGE,0.0683532,AGE,0.08108027,AGE,0.052457932
1,PTEDUCAT,0.037872717,PTEDUCAT,0.06348027,PTEDUCAT,0.009902183,PTEDUCAT,0.045417175,PTEDUCAT,0.04526388
2,11717389_a_at_11-Sep,0.05120453,11761597_a_at_TDRD1,0.030190116,11736713_a_at_LMOD2,0.024519797,11737861_a_at_ZSCAN5A,0.048742,11761597_a_at_TDRD1,0.03283525
3,11756742_a_at_AGPAT5,0.018919386,11727334_at_ALPPL2,0.003262499,11745558_a_at_BNIPL,0.017436523,11761597_a_at_TDRD1,0.025758358,11747355_a_at_FSCN1,0.034462176
4,11761141_x_at_LGALS8,0.0,11717155_a_at_NME1 || NME1-NME2,0.0177695,11737861_a_at_ZSCAN5A,0.01328371,11721682_s_at_RBMX2,0.031034578,11753655_a_at_PHLPP2,0.027326353
5,11719707_a_at_DHRS13,0.03230406,11730617_at_ULBP1,0.02509615,11737514_a_at_MEFV,0.054942355,11762803_at_APP,0.046668652,11730747_a_at_PAIP2,0.011846021
6,11756562_a_at_PDCD10,0.021051092,11721287_a_at_WWOX,0.01855688,11741539_x_at_DMKN,0.03144172,11734827_at_SPRED1,0.0005638501,11761149_a_at_C5ORF45,0.0016779365
7,11755642_a_at_KIF1A,0.014567731,11760343_x_at_11760375_at,0.017162113,11761597_a_at_TDRD1,0.04930587,11721761_a_at_PIK3R5,0.022487668,11725354_at_EPM2AIP1,0.04118707
8,11724509_a_at_PMAIP1,0.007109228,11717052_at_SSR1,0.0043275324,11738089_at_C5ORF56,0.013187267,11733369_x_at_HIST1H4I,0.027472848,11749988_x_at_AUH,0.025880886
9,11721305_a_at_PHLDA1,0.0175605,11737748_a_at_GMFB,0.022334237,11717269_a_at_FPGS,0.0,11742652_x_at_SPANXN1,0.0,11758532_s_at_IFT57,0.020682404
10,11732258_s_at_SH3RF1,0.018921254,11760425_a_at_IL6,0.01954894,11723263_a_at_AMN1,0.023426816,11759800_at_AKAP6,0.0028508261,11729444_a_at_SULT2B1,0.020125698
11,11744385_a_at_C16ORF91,0.025964402,11722154_a_at_SGMS2,0.0,11716911_a_at_NR2F6,0.0014276393,11745081_a_at_CLEC4M,0.009943545,11723991_a_at_ALG6,0.019376006
12,11761009_a_at_TES,0.034048513,11736470_at_SLC35D1,0.012717827,11735038_a_at_SORCS1,0.027599476,11728439_at_BRWD1,0.013345021,11759290_at_AKT3,0.026601182
13,11761102_x_at_FCAR,0.025138337,11745654_a_at_ST6GALNAC3,0.03388441,11754079_s_at_NDUFA5,0.036785085,11761679_at_PBX1,0.014881707,11745175_a_at_MKRN1,0.011561206
14,11728945_x_at_LST1,0.006807868,11741191_a_at_BCAP31,0.023823742,11750390_a_at_IL17RD,0.0070186215,11718138_at_LOC101928493 || PDXK,0.00929892,11719451_at_RAB14,0.0
15,11722088_s_at_NR1D2,0.0,11741857_a_at_NYX,0.015890166,11744962_a_at_ART5,0.010163261,11738362_a_at_ANKUB1,0.013049132,11728154_s_at_FUT4,0.03669135
16,11742991_a_at_PSAT1,0.029639145,11758623_s_at_KMT2A,0.018935844,11740399_a_at_MCTS1,0.025363272,11754182_x_at_IL2RG,0.018351983,11738574_at_TECTB,0.005521822
17,11726053_a_at_C19ORF24,0.010448517,11752412_a_at_PPP2R5D,0.017044706,11742041_x_at_ATXN2L,0.021575242,11741668_x_at_NONO,0.01750697,11716292_a_at_G6PD,0.022408051
18,11743240_a_at_LY6G6D,0.025207791,11730403_a_at_MRE11A,0.0054572425,11726694_a_at_C1ORF35,0.0,11729180_at_DHRSX,0.049082924,11723280_at_CREBZF,0.017632369
19,11721482_x_at_GOLPH3L,0.012210884,11721524_s_at_ZNF706,0.0066592093,11735437_a_at_NRXN2,0.009306327,11738293_a_at_KCNK10,0.0015098904,11738617_s_at_MYO7A,0.035754804
20,11756463_x_at_TUBG2,0.0,11755732_a_at_SAMD3,0.0074153813,11763976_at_nan,0.014532004,11755369_a_at_KDM5D,0.021142635,11745715_a_at_CAV1,0.014418828
21,11756248_a_at_PDPK1,0.012734226,11715505_a_at_IARS,0.03656006,11720541_at_LGALSL,0.019431494,11739470_at_TMEM87B,0.02220789,11750665_a_at_CHRNA2,0.019698108
22,11738972_at_KRTAP20-3,0.011839434,11743188_a_at_KIAA1430,0.015431727,11745562_x_at_MIOX,0.0,11718326_at_WWC3,0.010650823,11761541_at_CASP1,0.011806053
23,11754777_a_at_SH2D2A,0.017494917,11718910_s_at_OTUD5,0.010951577,11723042_at_UBE2D1,0.0,11749286_a_at_USF2,0.0032448345,11740286_a_at_ZNF626,0.012189708
24,11738170_a_at_ADCYAP1,0.021106964,11722140_a_at_GUCY1A3,0.020073112,11723586_a_at_GRB14,0.02602735,11725578_at_BEND3,0.008259023,11735020_a_at_IL4,0.040783033
25,11762660_at_nan,0.0,11717872_a_at_IRF8,0.024084436,11740291_x_at_CYP4A11,0.020226924,11747829_x_at_TCF7L2,0.0,11739455_a_at_SGMS1,0.021897908
26,11725486_a_at_CCDC77,0.02719191,11728645_a_at_NUCKS1,0.023505237,11756965_a_at_RRP1,0.0,11759543_at_PRMT2,0.015037003,11753003_x_at_DMBT1,0.0052885255
27,11749495_a_at_SLC23A2,0.005250813,11731453_at_SEC62,0.0,11742006_at_KRTAP12-2,0.015694372,11716952_a_at_OVCA2 || DPH1,0.036018986,11744539_a_at_RTN3,0.021225533
28,11726995_at_PINK1,0.026143307,11746023_a_at_PGD,0.010834659,11736774_at_ZIC3,0.020465512,11739873_s_at_ATAD3C,0.017952971,11752283_a_at_ALOX15B,0.023556432
29,11730248_a_at_TMEM25,0.012579836,11720784_a_at_ACTL6A,0.008983989,11747355_a_at_FSCN1,0.00953492,11742402_at_NKX2-6,0.020240536,11736875_a_at_ZNF514,0.02519212
30,11746262_a_at_MAPK12,0.005811988,11723186_at_FGD6,0.015670093,11756621_a_at_MNX1,0.003393806,11740827_at_HES3,0.019071989,11740543_at_ADAMTSL5,0.013772627
31,AFFX-DapX-5_at_AFFX-Nonspecific-GC14_at,0.0,11741827_x_at_GSTZ1,0.013528026,11732020_at_SPATA31D1,0.03723528,11748239_x_at_TBCD,0.0042560785,11751176_a_at_PRUNE2,0.019670246
32,11737546_at_ZNF648,0.007486432,11744209_s_at_SERPINH1,0.027952801,11760624_at_11760656_at,0.007274094,11721549_a_at_POLR3C,0.037815884,11739591_s_at_MINA,0.0
33,11722365_a_at_SLC4A1AP,0.0071057635,11749541_a_at_SUSD4,0.017098762,11755973_a_at_TNFAIP2,0.039984427,11719532_x_at_MMP19,0.003516969,11760564_at_SP140L,0.0
34,11744625_x_at_NABP2,0.021786097,11717047_s_at_CLDND1,0.086054474,11742148_at_KRTAP10-10,0.014331033,11736405_a_at_DNMT1,0.01719391,11737012_at_APLF,0.011995559
35,11725055_at_HNMT,0.03205916,11748382_a_at_SMURF2,0.013934632,11718835_x_at_PELP1,0.0,11762201_x_at_CDHR4,0.0,11719098_a_at_MVK,0.0141495755
36,11742175_x_at_TMEM88B,0.021370122,11738911_at_TAS2R43,0.030098503,11728233_a_at_CLDN1,0.0092727505,11734906_a_at_NOVA1,0.011544613,11718259_at_NOTCH1,0.025688319
37,11717306_x_at_ADIRF,0.04177732,11715536_a_at_IDH2,0.018396648,11724688_a_at_SAMD11,0.019186359,11754746_a_at_ZNF561,0.012563229,11727177_at_TMCO2,0.009811117
38,11716333_x_at_RPL28,0.040332843,11719365_x_at_SPATS2L,0.0074733472,11718996_at_MSRB2,0.04551794,11724011_at_SIKE1,0.009542141,11738033_a_at_PCDHGB4 || PCDHGA8,0.0
39,11743372_s_at_PTGES3,0.010960238,11749010_a_at_BRSK2,0.017746666,11721303_at_CLEC2B,0.021287795,11732597_at_CIB4,0.013572671,11732626_at_TMEM194B,0.0
40,11764275_s_at_SLC11A2,0.022172071,11745016_a_at_C1ORF43,0.029882232,11723064_a_at_TMEM18,0.02142058,11739807_a_at_MAZ,0.031410728,11719226_at_MOB1B,0.048123557
41,11731090_s_at_CACHD1,0.03604227,11720091_a_at_MINPP1,0.0070080687,11721210_a_at_SCRIB,0.0,11725157_a_at_CCDC91,0.0077642547,11739649_at_DLL4,0.0
42,11716610_a_at_AP2S1,0.0007098003,11723987_a_at_NR2F2,0.016467184,11762252_at_DAPP1,0.0,11716533_a_at_PPT1,0.017645087,11721629_a_at_MAFB,0.01840089
43,11716104_a_at_MPZL1,0.022484548,11734762_at_HIP1,0.022103852,11723145_a_at_RANBP17,0.017960526,11746632_a_at_MAP3K11,0.011216848,11726774_a_at_RORC,0.0065606786
44,11751808_a_at_LEPREL2,0.0,11721884_s_at_TUBGCP3,0.0100848945,11734151_at_ABRA,0.039825834,11750410_a_at_UGT1A10 || UGT1A8 || UGT1A7 || UGT1A6 || UGT1A5 || UGT1A9 || UGT1A4 || UGT1A1 || UGT1A3,0.00010438413,11737865_a_at_IGSF11,0.03875864
45,11756355_a_at_TP73,0.0,11738148_a_at_PREX2,0.009870067,11763243_x_at_G0S2,0.014398749,11760015_at_CELP,0.043207742,11756127_a_at_PGM1,0.01902112
46,11731161_at_ITGA2B,0.026180465,11744306_a_at_LRR1,0.0,11739405_a_at_FPGS,0.0,11719443_at_PTPRZ1,0.018279266,11742676_a_at_IRF2BP2,0.025638843
47,11739584_s_at_PRKD3,0.0062866905,11749326_s_at_OLFML2B,0.010226845,11755178_a_at_MYT1,0.031190319,11728579_a_at_SLMO1,0.015709288,11738115_at_ROR1,0.027840069
48,11720323_s_at_AK2,0.035779163,11730663_s_at_LRRC24,0.018016715,11715294_s_at_HECTD2,0.045428127,11730897_a_at_WAPAL,0.006342513,11752208_a_at_GATA2,0.002003166
49,11743810_s_at_TFAM,0.020079052,11732341_at_BCL11A,0.014128409,11718453_a_at_AXIN2,0.009899998,11739051_a_at_SLCO2B1,0.024229309,11745644_at_C8ORF49,0.017582223
50,11759090_at_ZNF571,0.015301703,11745784_a_at_LOC148413,0.015020529,11730811_a_at_LRRTM2,0.014644869,11738837_x_at_NPAS1,0.029659,11719127_s_at_CGRRF1,0.001558913
51,11739181_a_at_ST6GALNAC4,0.046069633,11748710_a_at_GPATCH8,0.021221006,11757676_x_at_SHFM1,0.036796547,11746871_a_at_GATAD2A,0.03155304,11723551_x_at_SH2D3A,0.014075779
