,features_fold0,importance_fold0,features_fold1,importance_fold1,features_fold2,importance_fold2,features_fold3,importance_fold3,features_fold4,importance_fold4
0,AGE,0.040355425,AGE,0.0828897,AGE,0.05123609,AGE,0.033116538,AGE,0.041450992
1,PTEDUCAT,0.039993722,PTEDUCAT,0.0,PTEDUCAT,0.08132501,PTEDUCAT,0.020068694,PTEDUCAT,0.016046114
2,11753165_a_at_RAB27A,0.18571906,11758109_s_at_ZNF428,0.075962834,11749459_a_at_RAP1GAP2,0.0715336,AFFX-r2-Bs-dap-5_at_AFFX-r2-TagJ-5_at,0.023792729,11746494_x_at_PIP4K2A,0.06874754
3,AFFX-HUMRGE/M10098_M_at_AFFX-PheX-M_at,0.015031443,11720311_a_at_XRCC5,0.179384,11733379_at_DCAF4L1,0.01873602,AFFX-PheX-3_at_AFFX-r2-TagB_at,0.009458386,11759404_at_TSPAN5,0.0
4,11724008_a_at_ENTPD1,0.008396415,11731271_a_at_MGAM,0.054976504,11745828_x_at_BNIP3L,0.13432921,11736205_a_at_OSBP2,0.12522444,11721930_a_at_TMCC2,0.040754676
5,11745272_a_at_ATP6V1C1,0.0059002824,11716784_at_TRAK2,0.03403567,11739179_s_at_ST6GALNAC4,0.0066097765,AFFX-PheX-M_at_AFFX-r2-TagD_at,0.024307584,11722640_s_at_SSBP3,0.024648491
6,11717241_a_at_MAEA,0.0040582432,11741967_a_at_CDYL,0.0,11752913_a_at_SESN3,0.013030652,11715494_s_at_HBG2,0.019049734,11720867_x_at_PLAC8,0.058909524
7,11724283_a_at_ANXA3,0.026026446,11752184_a_at_ZNF608,0.029012868,11722558_x_at_MPP1,0.0,AFFX-r2-Bs-phe-M_at_nan,0.036414966,11754255_a_at_WDR59,0.05099539
8,11728845_a_at_NCOA1,0.03533857,11730163_x_at_SLC6A8,0.0,11722603_at_NEFH,0.078673206,11744478_s_at_HBG2,0.0,11721931_s_at_TMCC2,0.007526997
9,11719884_s_at_KAZN,0.08529298,11715517_s_at_SLC25A39,0.0,11757130_x_at_SNORD15A,0.028082052,AFFX-DapX-3_at_AFFX-Nonspecific-GC13_at,0.021797303,11757664_s_at_MKRN1,0.020430172
10,11720311_a_at_XRCC5,0.035173822,11727808_s_at_FECH,0.00041406965,11727491_at_ZNF350,0.027772151,11724008_a_at_ENTPD1,0.040247,AFFX-ThrX-5_at_AFFX-r2-TagF_at,0.03593433
11,11743803_s_at_SEPHS2,0.03609394,11723611_at_HABP2,0.04642993,11739126_a_at_DNAJB2,0.0,AFFX-ThrX-5_at_AFFX-r2-TagF_at,0.01443835,11725937_a_at_LGALS3,0.05165039
12,11726915_at_SLCO4C1,0.015786542,11756980_s_at_HS3ST2,0.075871125,11732945_x_at_EFCC1,0.02829874,11763538_x_at_PRR5,0.030360548,11754453_s_at_NUDT4 || NUDT4P2 || NUDT4P1,0.0
13,AFFX-r2-Bs-dap-5_at_AFFX-r2-TagJ-5_at,0.029132936,11718399_s_at_TGM2,0.033458013,11720387_a_at_MRC2,0.028445875,AFFX-LysX-5_at_AFFX-ThrX-5_at,0.0,11752236_a_at_SPATA5,0.07416704
14,11761826_x_at_nan,0.0,11759400_at_PSMF1,0.16598143,11750137_a_at_PLCD4,0.02339481,11761978_at_ARHGEF12,0.036925234,11750456_s_at_RHCE || RHD,0.0066421316
15,11759461_x_at_ZNF836,0.026009325,11754363_s_at_CARM1,0.0,11723442_at_EPHA4,0.045084216,AFFX-r2-Bs-phe-3_at_nan,0.01646869,11745268_a_at_TNS1,0.0
16,11721864_s_at_SLC37A3,0.03805106,11754151_a_at_STXBP5,0.009909084,11716842_a_at_CD53,0.028175894,11763312_at_MXD4,0.034419306,11716983_at_CDC34,0.009157885
17,11756127_a_at_PGM1,0.04544093,11759176_at_GTSE1,0.045666456,11739871_a_at_DNAJB2,0.051144797,AFFX-LysX-M_at_AFFX-ThrX-M_at,0.023400985,11738040_a_at_ZNF630,0.03479206
18,11729396_a_at_NEK1,0.076664016,11741507_a_at_SMOX,0.0,11763117_x_at_11763149_a_at,0.07440109,AFFX-r2-Bs-lys-M_at_AFFX-r2-TagQ-5_at,0.0,11757335_s_at_MTIF3,0.024177555
19,11723254_a_at_HAT1,0.020622235,11727133_at_CPD,0.0,11731716_at_ACKR2,0.015252599,11755537_s_at_HBG2,0.0,11729920_at_CCDC176,0.13550137
20,11726379_a_at_WHSC1,0.0,11749666_a_at_ITCH,0.023106487,11731446_s_at_SNCA,0.0,AFFX-DapX-M_at_AFFX-Nonspecific-GC15_at,0.0022172013,11739849_x_at_UPK3BL || POLR2J2 || POLR2J3,0.023619952
21,11726023_a_at_EDN1,0.028336642,11718643_a_at_OSBPL8,0.032090757,11731996_at_TRIM58,0.03364214,11716563_s_at_AIMP2,0.04266722,11753714_a_at_HBE1,0.010582505
22,11746494_x_at_PIP4K2A,0.04188044,11757866_s_at_FBXO38,0.03371624,11756662_a_at_ERAL1,0.0059598307,11746268_a_at_ZNF630,0.020941682,11762095_at_11762127_at,0.041288078
23,11746222_a_at_TTBK2,0.12383722,11752527_a_at_ZNF554,0.029824806,11761505_a_at_USB1,0.03444796,11720311_a_at_XRCC5,0.04963331,11725951_at_RIOK3,0.032914147
24,11744861_a_at_DHRS7,0.0,11750285_a_at_NFIX,0.0135837775,11731291_a_at_PIAS2,0.03234417,AFFX-r2-Bs-dap-M_at_AFFX-r2-TagO-3_at,0.03954615,11726896_a_at_IRAK3,0.12049939
25,11758237_s_at_AGO4,0.025568314,11739802_at_VCPIP1,0.03308376,11719489_a_at_EDNRA,0.0592512,AFFX-r2-Bs-phe-5_at_nan,0.27045247,11724701_x_at_C10ORF32-ASMT || AS3MT,0.033626907
26,11758691_x_at_PGAM1 || LOC643576,0.011290072,11730162_s_at_SLC6A10P || SLC6A8 || SLC6A10PB*,0.00060254976,11755783_a_at_IKZF4,0.028828925,11746494_x_at_PIP4K2A,0.06505157,11723600_x_at_PHLPP2,0.03593644
