,features_fold0,importance_fold0,features_fold1,importance_fold1,features_fold2,importance_fold2,features_fold3,importance_fold3,features_fold4,importance_fold4
0,AGE,0.03630067,AGE,0.080024384,AGE,0.044366263,AGE,0.038962908,AGE,0.0490137
1,PTEDUCAT,0.024564808,PTEDUCAT,0.015977483,PTEDUCAT,0.075809486,PTEDUCAT,0.022795275,PTEDUCAT,0.04653513
2,AFFX-HUMRGE/M10098_M_at_AFFX-PheX-M_at,0.10283436,11755450_a_at_ZNF608,0.018522885,AFFX-r2-Bs-dap-5_at_AFFX-r2-TagJ-5_at,0.012924336,AFFX-r2-Bs-dap-5_at_AFFX-r2-TagJ-5_at,0.014007615,11755450_a_at_ZNF608,0.13242134
3,11718074_a_at_IL4R,0.0061862287,11739849_x_at_UPK3BL || POLR2J2 || POLR2J3,0.05082533,11734356_a_at_DRP2,0.10516291,AFFX-DapX-5_at_AFFX-Nonspecific-GC14_at,0.0,11747661_x_at_DMTN,0.014313386
4,AFFX-HUMRGE/M10098_5_at_AFFX-PheX-5_at,0.027972216,11734898_at_IPP,0.055650897,AFFX-r2-Bs-phe-3_at_nan,0.028966142,AFFX-r2-Bs-phe-5_at_nan,0.064293824,11746237_x_at_AKTIP,0.0432061
5,11753682_s_at_LSM12,0.0,11758109_s_at_ZNF428,0.16322611,11755749_x_at_C5ORF38,0.037098184,11755724_a_at_MLF1,0.08702349,11753744_a_at_CDKN2A,0.036818072
6,11717315_a_at_DTD1,0.05316972,11763312_at_MXD4,0.018418113,11720732_a_at_SUMF1,0.13094331,AFFX-PheX-5_at_AFFX-r2-TagC_at,0.029919619,11736489_a_at_MXD4,0.0
7,11719375_x_at_METTL7A,0.13059646,11726520_a_at_RNF32,0.049733743,AFFX-ThrX-M_at_AFFX-r2-TagG_at,0.035851844,11752906_a_at_TELO2,0.04493697,11752984_s_at_LOC100996717 || LOC100996763 || NOTCH2NL || NOTCH2,0.02270588
8,AFFX-HUMRGE/M10098_3_at_AFFX-PheX-3_at,0.0,11733100_at_USP12,0.09604947,AFFX-PheX-M_at_AFFX-r2-TagD_at,0.0015449895,AFFX-DapX-M_at_AFFX-Nonspecific-GC15_at,0.0,11724263_a_at_SHARPIN,0.009676915
9,11757778_s_at_EIF4H,0.052798785,11721101_x_at_SGSH,0.047315203,11725134_a_at_GCOM1 || POLR2M,0.026458777,AFFX-r2-Bs-dap-M_at_AFFX-r2-TagO-3_at,0.0,11751240_a_at_PHYHIP,0.026697
10,AFFX-r2-Bs-thr-3_s_at_nan,0.0051063783,11747737_x_at_CNN1,0.03730434,AFFX-PheX-3_at_AFFX-r2-TagB_at,0.0,AFFX-DapX-3_at_AFFX-Nonspecific-GC13_at,0.052542865,11729183_a_at_RPAP3,0.025737282
11,11739253_x_at_SLC35E1,0.049748834,11745797_x_at_LINC01000,0.020841895,AFFX-r2-Bs-thr-5_s_at_nan,0.06185964,AFFX-r2-Bs-phe-M_at_nan,0.031399794,11736124_a_at_CPLX2,0.06937848
12,11743401_x_at_CDC27,0.0,11731392_at_IL20,0.05315113,11757179_x_at_SNORD16,0.07154746,11719493_s_at_AK6,0.0,11717818_at_TNRC6A,0.037397884
